Date,Clicks,Impressions,CTR,Position
2026-05-20,17,2785,0.61%,11.9
2026-05-21,24,2701,0.89%,12
2026-05-22,21,2924,0.72%,11.9
2026-05-23,16,3190,0.5%,13.6
2026-05-24,10,3520,0.28%,14.3
2026-05-25,22,3690,0.6%,12.5
2026-05-26,30,4808,0.62%,11.9
2026-05-27,33,4366,0.76%,10.5
2026-05-28,26,4289,0.61%,10.6
2026-05-29,22,3897,0.56%,10.4
2026-05-30,16,3767,0.42%,11
2026-05-31,24,4130,0.58%,12.1
2026-06-01,33,4939,0.67%,10
2026-06-02,23,5596,0.41%,9.3
2026-06-03,23,5236,0.44%,9.5
2026-06-04,29,5658,0.51%,9
2026-06-05,24,4231,0.57%,9.2
2026-06-06,19,3673,0.52%,10
2026-06-07,18,4305,0.42%,11
2026-06-08,24,4444,0.54%,10.2
2026-06-09,20,4060,0.49%,9.4
2026-06-10,15,3788,0.4%,9.7
2026-06-11,19,3726,0.51%,9.4
2026-06-12,23,3365,0.68%,9.8
2026-06-13,16,3330,0.48%,11
2026-06-14,18,3406,0.53%,10.4
2026-06-15,17,3998,0.43%,11.2
2026-06-16,21,3857,0.54%,10.2
2026-06-17,21,3584,0.59%,10.3
2026-06-18,17,3610,0.47%,11.3
2026-06-19,19,3489,0.54%,10.7
2026-06-20,10,3034,0.33%,11.4
2026-06-21,15,2943,0.51%,12.6
2026-06-22,19,3700,0.51%,10.9
2026-06-23,19,3759,0.51%,11.1
2026-06-24,13,3416,0.38%,12.8
2026-06-25,21,3217,0.65%,12
2026-06-26,23,3099,0.74%,12.5
2026-06-27,9,3245,0.28%,14.8
2026-06-28,13,3045,0.43%,13.9
2026-06-29,30,3186,0.94%,11
2026-06-30,23,3419,0.67%,12.1
2026-07-01,18,3021,0.6%,12
2026-07-02,16,2766,0.58%,11.8
2026-07-03,9,2599,0.35%,11.9
2026-07-04,10,2398,0.42%,13.6
2026-07-05,9,2780,0.32%,14
2026-07-06,18,3136,0.57%,12.3
2026-07-07,28,3758,0.75%,12.9
2026-07-08,15,3456,0.43%,11.9
2026-07-09,21,3321,0.63%,11.1
2026-07-10,12,3258,0.37%,11.2
2026-07-11,19,3209,0.59%,12.2
2026-07-12,19,3022,0.63%,13.7
2026-07-13,21,3266,0.64%,12.2
2026-07-14,29,3361,0.86%,13
2026-07-15,23,3048,0.75%,11.9
2026-07-16,32,2672,1.2%,11.7
2026-07-17,27,2770,0.97%,11.7
2026-07-18,9,2321,0.39%,12.6
2026-07-19,17,2564,0.66%,13.6
2026-07-20,25,3167,0.79%,12.2
2026-07-21,24,3235,0.74%,12.4
2026-07-22,19,2874,0.66%,11.3
2026-07-23,20,2598,0.77%,11.9
2026-07-24,13,2641,0.49%,11.4
2026-07-25,10,2403,0.42%,12.9
2026-07-26,11,2865,0.38%,13.4
2026-07-27,25,3113,0.8%,12
2026-07-28,21,3951,0.53%,12.8
2026-07-29,31,3133,0.99%,11.3
2026-07-30,21,3335,0.63%,12.7
2026-07-31,16,3400,0.47%,13.6
2026-08-01,13,2992,0.43%,13.4
2026-08-02,15,3200,0.47%,15
2026-08-03,20,3580,0.56%,12.1
2026-08-04,18,3167,0.57%,11
2026-08-05,29,3053,0.95%,11
2026-08-06,20,2764,0.72%,11.9
2026-08-07,20,2499,0.8%,10
2026-08-08,16,2378,0.67%,10.6
2026-08-09,7,2887,0.24%,15.7
2026-08-10,28,3203,0.87%,11.4
2026-08-11,26,3753,0.69%,11.3
2026-08-12,19,3592,0.53%,10.9
2026-08-13,25,3741,0.67%,12.1
2026-08-14,22,3324,0.66%,9.9
2026-08-15,17,2776,0.61%,11.5
2026-08-16,10,2681,0.37%,14.8
2026-08-17,21,3138,0.67%,12
2026-08-18,21,3191,0.66%,12
2026-08-19,19,3070,0.62%,12.4
