Country,Clicks,Impressions,CTR,Position
United States,1484,235440,0.63%,11.43
United Kingdom,71,18107,0.39%,16.16
Canada,31,6589,0.47%,10.16
India,27,7532,0.36%,8.24
Australia,23,6116,0.38%,17.56
France,18,860,2.09%,7.17
South Africa,11,1127,0.98%,7.27
Russia,9,389,2.31%,11.41
Singapore,8,1139,0.7%,15.37
Germany,8,1011,0.79%,8.86
Sweden,8,333,2.4%,6.76
Philippines,7,2771,0.25%,9.98
Mexico,7,2010,0.35%,9.82
Ireland,7,885,0.79%,8.43
Netherlands,7,754,0.93%,8.46
Spain,6,744,0.81%,11.45
New Zealand,5,1153,0.43%,9.84
Pakistan,5,535,0.93%,11.53
Nigeria,5,373,1.34%,8.15
Poland,5,348,1.44%,7.35
United Arab Emirates,4,400,1%,10
Indonesia,3,5990,0.05%,10.55
Argentina,3,785,0.38%,9.79
Belgium,3,180,1.67%,6.46
Malaysia,2,841,0.24%,10.3
Vietnam,2,807,0.25%,21.19
Colombia,2,469,0.43%,10.52
Saudi Arabia,2,362,0.55%,12.13
Morocco,2,256,0.78%,22.16
Egypt,2,247,0.81%,11.85
China,2,213,0.94%,6.48
Finland,2,176,1.14%,6.2
Norway,2,163,1.23%,9.28
Portugal,2,151,1.32%,9.25
Denmark,2,115,1.74%,6.94
Trinidad & Tobago,2,98,2.04%,8.79
Japan,1,805,0.12%,10.13
Thailand,1,495,0.2%,15.08
Peru,1,479,0.21%,8.6
Turkey,1,341,0.29%,19.46
Puerto Rico,1,239,0.42%,7.13
Ukraine,1,177,0.56%,15.68
Greece,1,173,0.58%,8.48
Romania,1,161,0.62%,9.2
Israel,1,147,0.68%,8.85
Iraq,1,137,0.73%,18.09
Costa Rica,1,99,1.01%,9.08
Czechia,1,94,1.06%,10.26
Jamaica,1,92,1.09%,6.99
Croatia,1,82,1.22%,7.29
Kazakhstan,1,76,1.32%,9.21
Cyprus,1,41,2.44%,6.78
Cuba,1,36,2.78%,4.36
Slovenia,1,21,4.76%,6.81
Aruba,1,10,10%,7.2
Macau,1,8,12.5%,10.38
Brazil,0,991,0%,12.9
Italy,0,597,0%,10.45
Chile,0,463,0%,9.67
Ecuador,0,348,0%,10.22
Bangladesh,0,331,0%,20.75
Hong Kong,0,295,0%,6.88
South Korea,0,235,0%,9.6
Kenya,0,221,0%,8.76
Venezuela,0,219,0%,11.18
Switzerland,0,182,0%,7.13
Algeria,0,148,0%,19.02
Taiwan,0,137,0%,8.84
Bolivia,0,136,0%,10.39
Hungary,0,135,0%,10.86
Jordan,0,124,0%,24.07
Paraguay,0,120,0%,10.38
Dominican Republic,0,117,0%,10.89
Guatemala,0,108,0%,8.26
Austria,0,89,0%,10.12
Nepal,0,88,0%,8.91
Ghana,0,87,0%,6.71
Bulgaria,0,79,0%,8.47
Iran,0,78,0%,6.71
Qatar,0,72,0%,7.29
Uruguay,0,70,0%,11.61
Serbia,0,69,0%,7.43
El Salvador,0,68,0%,9.25
Honduras,0,64,0%,8.34
Kuwait,0,60,0%,9.77
Ethiopia,0,59,0%,13.32
Sri Lanka,0,56,0%,6.14
Lebanon,0,54,0%,7.48
Lithuania,0,53,0%,11.02
Uganda,0,51,0%,5.45
Nicaragua,0,50,0%,8.52
Belarus,0,49,0%,7.45
Slovakia,0,49,0%,11.47
Syria,0,47,0%,4.04
Estonia,0,47,0%,15.79
Iceland,0,47,0%,20.45
Oman,0,44,0%,11.39
Panama,0,42,0%,15.4
Albania,0,40,0%,8.68
Latvia,0,39,0%,15.33
Tunisia,0,38,0%,12.71
Mauritius,0,36,0%,6.83
Malta,0,36,0%,9.64
Zambia,0,35,0%,4.69
Luxembourg,0,34,0%,18.24
Zimbabwe,0,33,0%,5.33
Palestine,0,33,0%,11.88
Uzbekistan,0,33,0%,15.58
Tanzania,0,32,0%,3.62
Bosnia & Herzegovina,0,32,0%,7.22
Bahamas,0,32,0%,9.53
Barbados,0,29,0%,8.07
Moldova,0,29,0%,8.55
Cambodia,0,29,0%,9.21
Azerbaijan,0,28,0%,18.5
Georgia,0,26,0%,6.23
Namibia,0,26,0%,7.92
Macedonia,0,25,0%,5.2
Brunei,0,23,0%,4.61
Botswana,0,23,0%,5.61
Guam,0,23,0%,7.7
Bahrain,0,23,0%,11.43
Guyana,0,22,0%,9.55
Armenia,0,21,0%,6.19
Myanmar (Burma),0,21,0%,8.33
Isle of Man,0,17,0%,6.41
Fiji,0,15,0%,4.8
Kosovo,0,15,0%,5.93
Cayman Islands,0,14,0%,6.86
Jersey,0,14,0%,8.29
Senegal,0,14,0%,15.07
Andorra,0,14,0%,33.93
Mongolia,0,13,0%,5.31
Somalia,0,13,0%,5.85
Bermuda,0,12,0%,5.58
U.S. Virgin Islands,0,12,0%,5.58
Yemen,0,12,0%,5.67
Cameroon,0,12,0%,7.75
Belize,0,12,0%,8.67
Côte d’Ivoire,0,12,0%,14.83
Rwanda,0,11,0%,7.55
Maldives,0,11,0%,8.09
Kyrgyzstan,0,11,0%,13.27
Libya,0,11,0%,14.91
Malawi,0,10,0%,6.6
Bhutan,0,10,0%,8.7
St. Lucia,0,9,0%,5.33
Guernsey,0,9,0%,6.22
Afghanistan,0,9,0%,6.44
Papua New Guinea,0,9,0%,9.44
Sierra Leone,0,9,0%,10.44
St. Vincent & Grenadines,0,8,0%,3.5
Laos,0,8,0%,5.38
Grenada,0,8,0%,7.38
Liberia,0,8,0%,10.38
Montenegro,0,7,0%,8.14
Togo,0,7,0%,28.43
Unknown Region,0,6,0%,5.33
Antigua & Barbuda,0,6,0%,6
Swaziland,0,6,0%,6.83
Haiti,0,6,0%,7.67
Tajikistan,0,6,0%,8
Lesotho,0,5,0%,4.8
Mozambique,0,5,0%,6.8
Turks & Caicos Islands,0,5,0%,8
Mali,0,5,0%,13
Gibraltar,0,4,0%,4.75
Congo - Kinshasa,0,4,0%,6.25
St. Kitts & Nevis,0,4,0%,6.75
Turkmenistan,0,3,0%,2
Samoa,0,3,0%,2
Réunion,0,3,0%,2.67
Micronesia,0,3,0%,5.67
Liechtenstein,0,3,0%,6.67
Faroe Islands,0,3,0%,10.33
Sint Maarten,0,3,0%,11.33
Suriname,0,3,0%,11.67
British Virgin Islands,0,3,0%,12.33
Congo - Brazzaville,0,3,0%,15.33
Angola,0,3,0%,19.67
Gambia,0,2,0%,1.5
Timor-Leste,0,2,0%,2
Madagascar,0,2,0%,2.5
Curaçao,0,2,0%,3.5
St. Martin,0,2,0%,3.5
Solomon Islands,0,2,0%,4.5
Seychelles,0,2,0%,5
Cook Islands,0,2,0%,6.5
Cape Verde,0,2,0%,7
Greenland,0,2,0%,9.5
Benin,0,2,0%,15
Niger,0,1,0%,1
Palau,0,1,0%,1
Central African Republic,0,1,0%,2
French Guiana,0,1,0%,2
Mauritania,0,1,0%,2
French Polynesia,0,1,0%,2
São Tomé & Príncipe,0,1,0%,2
Åland Islands,0,1,0%,3
Burkina Faso,0,1,0%,3
Guinea,0,1,0%,3
St. Pierre & Miquelon,0,1,0%,3
Anguilla,0,1,0%,4
Dominica,0,1,0%,4
New Caledonia,0,1,0%,4
St. Barthélemy,0,1,0%,7
Montserrat,0,1,0%,7
North Korea,0,1,0%,7
Chad,0,1,0%,8
Burundi,0,1,0%,9
Gabon,0,1,0%,48
